image,category,A_no_depth_ARE,A_no_depth_conf,B_moge_raw_ARE,B_moge_raw_conf,C_moge_corrected_ARE,C_moge_corrected_conf,D_da_metric_ARE,D_da_metric_conf,E_rule_based_ARE,E_rule_based_conf
0001.png,bed,0.0915,0.573,0.1386,0.653,0.1078,0.536,0.1813,0.611,0.0708,0.000
0004.png,bed,0.0818,0.679,0.1010,0.765,0.0765,0.631,0.0957,0.731,0.0324,0.000
0008.png,bed,0.0993,0.602,0.0449,0.681,0.1173,0.410,0.0664,0.718,0.1049,0.000
0010.png,bed,0.1248,0.485,0.1786,0.518,0.1330,0.464,0.1874,0.513,0.1024,0.000
0011.png,bed,0.1021,0.580,0.1749,0.678,0.1454,0.615,0.1892,0.704,0.1024,0.000
0012.png,bed,0.0722,0.636,0.1584,0.601,0.1065,0.426,0.1968,0.689,0.1024,0.000
0014.png,bed,0.1154,0.668,0.1490,0.715,0.1355,0.492,0.1260,0.708,0.1024,0.000
0015.png,bed,0.0397,0.280,0.0453,0.611,0.0396,0.588,0.0303,0.531,0.1204,0.000
0016.png,bed,0.0161,0.577,0.0203,0.759,0.0175,0.765,0.0202,0.705,0.1204,0.000
0017.png,bed,0.0992,0.672,0.1394,0.719,0.1061,0.614,0.1412,0.652,0.1024,0.000
0018.png,bed,0.1177,0.511,0.1854,0.644,0.0897,0.500,0.1976,0.633,0.0708,0.000
0021.png,bed,0.0430,0.583,0.0277,0.679,0.0574,0.548,0.0530,0.676,0.1024,0.000
0023.png,bed,0.0994,0.652,0.0628,0.729,0.0553,0.752,0.0673,0.771,0.1069,0.000
0024.png,bed,0.1110,0.519,0.1824,0.589,0.1649,0.608,0.1610,0.564,0.0708,0.000
0025.png,bed,0.1297,0.615,0.1604,0.714,0.1426,0.564,0.1908,0.591,0.1024,0.000
0026.png,bed,0.1249,0.671,0.1358,0.733,0.1347,0.664,0.1162,0.686,0.1024,0.000
0027.png,bed,0.0704,0.268,0.0831,0.605,0.1373,0.525,0.0780,0.536,0.1340,0.000
0028.png,bed,0.0784,0.287,0.0529,0.575,0.0506,0.578,0.0670,0.584,0.1069,0.000
0030.png,bed,0.0404,0.618,0.0756,0.752,0.1110,0.647,0.0612,0.655,0.0670,0.000
0031.png,bed,0.1509,0.511,0.1394,0.585,0.1408,0.458,0.1580,0.521,0.1340,0.000
