image,category,A_baseline_ARE,B_moge_intrinsics_ARE,C_ar_preserve_ARE,D_both_improved_ARE,E_hybrid_ARE,F_rule_ARE
0001.png,bed,0.1502,0.1098,0.1030,0.1021,0.0708,0.0708
0004.png,bed,0.1056,0.0639,0.0612,0.0597,0.0324,0.0324
0008.png,bed,0.0406,0.0535,0.0159,0.0583,0.1049,0.1049
0010.png,bed,0.0573,0.0774,0.0203,0.0438,0.1024,0.1024
0011.png,bed,0.2275,0.1279,0.1651,0.1296,0.1024,0.1024
0012.png,bed,0.1691,0.1480,0.0789,0.1270,0.1024,0.1024
0014.png,bed,0.1412,0.1412,0.1187,0.1153,0.1024,0.1024
0015.png,bed,0.2889,0.0461,0.1627,0.0468,0.1204,0.1204
0016.png,bed,0.0651,0.0357,0.0190,0.0516,0.1204,0.1204
0017.png,bed,0.1419,0.1348,0.1241,0.1300,0.1024,0.1024
0018.png,bed,0.1223,0.1030,0.2664,0.0956,0.0708,0.0708
0021.png,bed,0.0667,0.0392,0.1058,0.0564,0.1024,0.1024
0023.png,bed,0.0543,0.0524,0.0479,0.0764,0.1069,0.1069
0024.png,bed,0.1720,0.0673,0.0667,0.0691,0.0708,0.0708
0025.png,bed,0.1500,0.1555,0.1037,0.1479,0.1024,0.1024
0026.png,bed,0.1409,0.1159,0.0433,0.1161,0.1024,0.1024
0027.png,bed,0.1531,0.1047,0.1541,0.0994,0.1340,0.1340
0028.png,bed,0.0944,0.0528,0.0953,0.0532,0.1069,0.1069
0030.png,bed,0.1228,0.1527,0.0195,0.1148,0.0670,0.0670
0031.png,bed,0.1865,0.1649,0.0960,0.1336,0.1340,0.1340
0032.png,bed,0.1056,0.0971,0.0802,0.0937,0.0708,0.0708
0033.png,bed,0.1812,0.2383,0.2279,0.2451,0.0708,0.0708
0034.png,bed,0.0791,0.0107,0.1908,0.0247,0.0324,0.0324
0035.png,bed,0.0920,0.0836,0.0282,0.0774,0.1024,0.1024
0038.png,bed,0.1493,0.1700,0.1674,0.1644,0.1340,0.1340
0039.png,bed,0.1567,0.1120,0.1653,0.1359,0.1024,0.1024
0040.png,bed,0.1059,0.1079,0.1611,0.1044,0.0324,0.0324
0041.png,bed,0.0853,0.0747,0.1195,0.0775,0.0420,0.0420
0042.jpg,bed,0.0508,0.0506,0.0521,0.0482,0.0642,0.0642
0043.jpg,bed,0.1885,0.0716,0.1018,0.0857,0.0642,0.0642
0001.jpg,bookcase,0.0657,0.0260,0.0327,0.0391,0.0391,0.1426
0002.jpg,bookcase,0.0142,0.0398,0.0122,0.0420,0.0420,0.2219
0003.jpg,bookcase,0.0345,0.0693,0.0335,0.0745,0.0745,0.2219
0007.jpg,bookcase,0.0168,0.0877,0.0360,0.0833,0.0833,0.2219
0008.jpg,bookcase,0.0639,0.0647,0.0180,0.0660,0.0660,0.2219
0009.jpg,bookcase,0.0115,0.0434,0.0121,0.0429,0.0429,0.2219
0010.jpg,bookcase,0.0182,0.0382,0.0164,0.0384,0.0384,0.2219
0011.jpg,bookcase,0.0010,0.0283,0.0002,0.0284,0.0284,0.2219
0012.jpg,bookcase,0.1379,0.1498,0.0022,0.1758,0.1758,0.2219
0013.jpg,bookcase,0.2008,0.3956,0.0251,0.0672,0.0672,0.2219
0015.jpg,bookcase,0.0739,0.1558,0.0090,0.1538,0.1538,0.2219
0016.jpg,bookcase,0.0444,0.0938,0.0082,0.0941,0.0941,0.2219
0017.jpg,bookcase,0.0280,0.0333,0.0289,0.0338,0.0338,0.2219
0018.jpg,bookcase,0.0214,0.0541,0.0212,0.0530,0.0530,0.2219
0021.jpg,bookcase,0.0796,0.0403,0.0797,0.0387,0.0387,0.1192
0022.jpg,bookcase,0.0251,0.0353,0.0250,0.0354,0.0354,0.1192
0023.jpg,bookcase,0.0815,0.0289,0.0814,0.0296,0.0296,0.1192
0024.jpg,bookcase,0.0860,0.0300,0.0857,0.0276,0.0276,0.1192
0025.jpg,bookcase,0.0859,0.0337,0.0882,0.0348,0.0348,0.1192
0026.jpg,bookcase,0.0721,0.0397,0.0711,0.0381,0.0381,0.1192
0027.jpg,bookcase,0.0806,0.0972,0.0192,0.0922,0.0922,0.1192
0028.jpg,bookcase,0.0751,0.0735,0.0209,0.0640,0.0640,0.1192
0029.jpg,bookcase,0.0665,0.1086,0.0154,0.0926,0.0926,0.1192
0030.jpg,bookcase,0.0086,0.0726,0.0610,0.0836,0.0836,0.1192
0031.jpg,bookcase,0.0864,0.1015,0.0383,0.0998,0.0998,0.1192
0032.jpg,bookcase,0.0735,0.0484,0.0761,0.0484,0.0484,0.1192
0033.jpg,bookcase,0.0768,0.0356,0.0760,0.0350,0.0350,0.1192
0034.jpg,bookcase,0.0638,0.0426,0.0661,0.0420,0.0420,0.1864
0035.jpg,bookcase,0.0875,0.1152,0.0554,0.1186,0.1186,0.1864
0036.jpg,bookcase,0.0520,0.0563,0.0468,0.0554,0.0554,0.1864
0001.png,chair,0.1959,0.1413,0.1535,0.1302,0.0549,0.0549
0003.png,chair,0.1333,0.1527,0.1234,0.1402,0.0549,0.0549
0004.png,chair,0.0990,0.1256,0.0893,0.1278,0.0549,0.0549
0008.png,chair,0.1159,0.1685,0.1057,0.1614,0.0619,0.0619
0010.png,chair,0.1735,0.1390,0.1396,0.1168,0.0549,0.0549
0011.png,chair,0.0345,0.2276,0.0953,0.2182,0.0102,0.0102
0013.png,chair,0.2712,0.0840,0.2503,0.0912,0.1697,0.1697
0015.png,chair,0.0135,0.1595,0.1538,0.1641,0.0416,0.0416
0016.png,chair,0.0882,0.1460,0.0850,0.1565,0.0416,0.0416
0017.png,chair,0.2392,0.1492,0.1569,0.1419,0.0549,0.0549
0019.png,chair,0.1043,0.1512,0.1123,0.1504,0.0473,0.0473
0020.png,chair,0.2309,0.1151,0.1494,0.0878,0.0549,0.0549
0022.png,chair,0.1386,0.0958,0.0166,0.0970,0.0549,0.0549
0026.png,chair,0.0725,0.2064,0.0757,0.1720,0.0619,0.0619
0027.png,chair,0.1315,0.1558,0.1247,0.1590,0.0619,0.0619
0033.png,chair,0.1276,0.1046,0.1321,0.1272,0.0416,0.0416
0040.png,chair,0.1012,0.1138,0.1083,0.1044,0.0473,0.0473
