image,category,gt_ratio_s,gt_ratio_m,nd_ARE,nd_conf,nd_short,nd_mid,nd_long,mg_ARE,mg_conf,mg_short,mg_mid,mg_long,rule_ARE,rule_short,rule_mid,rule_long
0001.png,bed,0.3649,0.7441,0.0579,0.411,837,1215,1840,0.1221,0.483,869,894,1986,0.0708,1067,1400,2000
0004.png,bed,0.5364,0.7941,0.0849,0.480,863,1945,2111,0.0829,0.596,648,1571,1823,0.0324,1067,1400,2000
0008.png,bed,0.3692,0.5495,0.1406,0.445,332,773,824,0.0184,0.588,426,741,1337,0.1049,1067,1400,2000
0010.png,bed,0.3649,0.8389,0.0561,0.432,264,844,1069,0.0690,0.479,200,902,1106,0.1024,1067,1400,2000
0011.png,bed,0.3649,0.8389,0.0796,0.311,534,874,1449,0.0678,0.379,442,948,1389,0.1024,1067,1400,2000
0012.png,bed,0.3649,0.8389,0.1154,0.317,743,1265,1296,0.0258,0.432,400,1158,1383,0.1024,1067,1400,2000
0014.png,bed,0.3649,0.8389,0.0515,0.386,441,1430,1783,0.0960,0.488,369,1182,1694,0.1024,1067,1400,2000
0015.png,bed,0.3649,0.5071,0.0307,0.461,319,421,768,0.0828,0.403,557,1011,1399,0.1204,1067,1400,2000
0016.png,bed,0.3649,0.5071,0.1231,0.569,268,571,676,0.1342,0.665,317,585,707,0.1204,1067,1400,2000
0017.png,bed,0.3649,0.8389,0.1321,0.340,1155,1317,2079,0.1550,0.540,996,1012,1752,0.1024,1067,1400,2000
0018.png,bed,0.3649,0.7441,0.0787,0.445,215,982,1372,0.1040,0.598,110,1309,1781,0.0708,1067,1400,2000
0021.png,bed,0.3649,0.8389,0.0584,0.392,447,1153,1160,0.0769,0.559,281,1257,1385,0.1024,1067,1400,2000
0023.png,bed,0.2188,0.7061,0.0772,0.355,286,1267,1364,0.0527,0.495,185,853,1036,0.1069,1067,1400,2000
0024.png,bed,0.3649,0.7441,0.0818,0.339,437,1117,1799,0.1239,0.352,1017,1032,1958,0.0708,1067,1400,2000
0025.png,bed,0.3649,0.8389,0.0449,0.432,305,1102,1309,0.0610,0.477,340,1124,1434,0.1024,1067,1400,2000
0026.png,bed,0.3649,0.8389,0.0705,0.415,371,768,1148,0.0565,0.447,349,963,1268,0.1024,1067,1400,2000
0027.png,bed,0.3649,0.9337,0.2010,0.379,303,384,988,0.0971,0.322,784,1227,1596,0.1340,1067,1400,2000
0028.png,bed,0.2188,0.7061,0.0841,0.464,262,444,773,0.1189,0.371,642,829,1435,0.1069,1067,1400,2000
0030.png,bed,0.6308,0.8036,0.0315,0.310,1037,1515,1905,0.0587,0.384,907,1347,1791,0.0670,1067,1400,2000
0031.png,bed,0.3649,0.9337,0.1388,0.416,163,1029,1351,0.1054,0.508,230,1281,1538,0.1340,1067,1400,2000
0032.png,bed,0.3649,0.7441,0.0854,0.437,493,1641,1807,0.0979,0.580,487,1850,2026,0.0708,1067,1400,2000
0033.png,bed,0.3649,0.7441,0.0603,0.360,843,1166,1630,0.0759,0.551,498,1000,1699,0.0708,1067,1400,2000
0034.png,bed,0.5364,0.7941,0.1495,0.443,275,1258,1738,0.1250,0.552,345,1371,1797,0.0324,1067,1400,2000
0035.png,bed,0.3649,0.8389,0.0989,0.353,565,927,994,0.0348,0.300,523,1132,1265,0.1024,1067,1400,2000
0038.png,bed,0.3649,0.9337,0.0245,0.421,374,1141,1194,0.0802,0.568,393,1104,1415,0.1340,1067,1400,2000
0039.png,bed,0.3649,0.8389,0.1114,0.351,643,856,1527,0.1477,0.458,742,787,1446,0.1024,1067,1400,2000
0040.png,bed,0.5364,0.7941,0.0507,0.364,982,1189,1465,0.0150,0.468,789,1129,1394,0.0324,1067,1400,2000
0041.png,bed,0.5714,0.7878,0.0640,0.403,683,787,1259,0.0511,0.559,538,916,1022,0.0420,1067,1400,2000
0042.jpg,bed,0.4246,0.5131,0.1744,0.458,484,724,827,0.0937,0.516,510,799,1074,0.0986,1067,1400,2000
0043.jpg,bed,0.4246,0.5131,0.1111,0.372,486,1038,1307,0.1087,0.633,205,709,1495,0.0986,1067,1400,2000
0001.jpg,bookcase,0.3088,0.4632,0.2946,0.413,378,459,506,0.3692,0.365,560,637,637,0.0985,300,1200,2000
0002.jpg,bookcase,0.1383,0.3960,0.2837,0.488,336,455,571,0.0644,0.373,198,723,1266,0.0719,300,1200,2000
