image,category,gt_ratio_short,gt_ratio_mid,boxer_W_mm,boxer_D_mm,boxer_H_mm,boxer_ratio_short,boxer_ratio_mid,boxer_conf,boxer_ARE,rule_type,rule_W_mm,rule_D_mm,rule_H_mm,rule_ratio_short,rule_ratio_mid,rule_ARE,boxer_ms
0001.png,bed,0.3649,0.7441,2064,1243,1458,0.6022,0.7067,0.573,0.0915,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0708,675.0
0004.png,bed,0.5364,0.7941,1904,1486,1513,0.7808,0.7950,0.679,0.0818,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0324,158.5
0008.png,bed,0.3692,0.5495,1687,1001,1051,0.5937,0.6229,0.602,0.0993,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1049,151.2
0010.png,bed,0.3649,0.8389,2026,1271,1473,0.6271,0.7267,0.485,0.1248,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,156.4
0011.png,bed,0.3649,0.8389,2037,1057,1398,0.5187,0.6863,0.580,0.1021,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,155.6
0012.png,bed,0.3649,0.8389,2150,1243,1796,0.5780,0.8354,0.636,0.0722,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,154.5
0014.png,bed,0.3649,0.8389,1973,1118,1370,0.5663,0.6941,0.668,0.1154,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,157.0
0015.png,bed,0.3649,0.5071,2136,756,853,0.3539,0.3990,0.280,0.0397,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1204,157.4
0016.png,bed,0.3649,0.5071,2023,711,955,0.3515,0.4722,0.577,0.0161,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1204,158.8
0017.png,bed,0.3649,0.8389,2148,1281,1659,0.5963,0.7725,0.672,0.0992,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,157.0
0018.png,bed,0.3649,0.7441,2002,1110,1162,0.5544,0.5805,0.511,0.1177,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0708,153.9
0021.png,bed,0.3649,0.8389,2213,968,1980,0.4377,0.8950,0.583,0.0430,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,161.5
0023.png,bed,0.2188,0.7061,1803,637,1569,0.3530,0.8701,0.652,0.0994,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1069,154.9
0024.png,bed,0.3649,0.7441,2236,1404,1507,0.6280,0.6740,0.519,0.1110,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0708,151.1
0025.png,bed,0.3649,0.8389,2149,1232,1415,0.5734,0.6581,0.615,0.1297,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,155.4
0026.png,bed,0.3649,0.8389,1979,1072,1268,0.5414,0.6407,0.671,0.1249,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,154.7
0027.png,bed,0.3649,0.9337,2023,770,1493,0.3808,0.7383,0.268,0.0704,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1340,156.9
0028.png,bed,0.2188,0.7061,1609,421,827,0.2619,0.5142,0.287,0.0784,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1069,151.9
0030.png,bed,0.6308,0.8036,1903,1345,1615,0.7068,0.8487,0.618,0.0404,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0670,157.3
0031.png,bed,0.3649,0.9337,2181,1038,1291,0.4761,0.5921,0.511,0.1509,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1340,155.1
0032.png,bed,0.3649,0.7441,2013,1268,1316,0.6298,0.6540,0.643,0.1183,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0708,158.5
0033.png,bed,0.3649,0.7441,2124,1431,1489,0.6736,0.7013,0.635,0.1172,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0708,156.8
0034.png,bed,0.5364,0.7941,2217,1303,1570,0.5877,0.7080,0.569,0.0458,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0324,152.5
0035.png,bed,0.3649,0.8389,1719,1013,1338,0.5892,0.7782,0.684,0.0950,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,156.8
0038.png,bed,0.3649,0.9337,1953,1218,1389,0.6235,0.7110,0.437,0.1604,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1340,153.2
0039.png,bed,0.3649,0.8389,2186,1303,1555,0.5961,0.7114,0.434,0.1195,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.1024,156.3
