image,label,category,img_ar,sq_short,sq_mid,sq_long,sq_conf,sq_plaus,ar_short,ar_mid,ar_long,ar_conf,ar_plaus,rule_short,rule_mid,rule_long,rule_plaus,dim_change_pct
1.png,Nightstand,nightstand,1.00,365,373,634,0.850,1.000,365,377,628,0.850,1.000,400,500,500,1.000,0.7
1.png,Sofa,sofa,1.00,803,1100,1140,0.698,1.000,799,1126,1174,0.704,1.000,900,1800,3200,1.000,2.0
1.png,Coffee Table,table,1.00,447,479,690,0.795,1.000,449,475,680,0.795,1.000,80,100,150,0.150,0.9
1.png,Monitor/TV,monitor,1.00,94,400,596,0.854,1.000,88,382,580,0.862,1.000,80,100,150,0.300,4.6
1.png,Storage box,default,1.00,110,238,351,0.838,1.000,109,240,351,0.834,1.000,80,100,150,1.000,0.4
1.png,Fan,default,1.00,50,132,451,0.806,1.000,50,133,441,0.818,1.000,400,400,1100,1.000,1.1
1.png,Bed,bed,1.00,894,1068,1594,0.694,1.000,890,1067,1588,0.685,1.000,1067,1400,2000,0.500,0.3
10.jpg,Nightstand,nightstand,1.84,293,418,837,0.726,0.300,332,472,484,0.783,1.000,400,500,500,1.000,22.9
10.jpg,Nightstand,nightstand,1.84,185,297,466,0.853,0.500,214,268,286,0.896,0.300,400,500,500,1.000,21.4
10.jpg,Bed,bed,1.84,1013,1261,1443,0.719,0.150,905,927,1308,0.552,0.300,1067,1400,2000,0.500,15.5
11.jpg,Bed,bed,1.00,1753,1872,1999,0.664,0.500,1805,1851,1965,0.661,0.500,1067,1400,2000,0.500,1.9
11.jpg,Coffee Table,table,1.00,116,291,313,0.834,0.150,118,294,304,0.833,0.150,80,100,150,0.150,1.6
12.jpg,Sofa,sofa,1.33,983,1433,1844,0.755,1.000,967,1101,1845,0.726,1.000,900,1800,3200,1.000,8.3
12.jpg,Floor,default,1.33,107,1989,3935,0.383,1.000,201,2144,2770,0.481,1.000,80,100,150,1.000,41.4
2.png,Nightstand,nightstand,1.19,344,372,428,0.862,1.000,341,343,372,0.852,1.000,400,500,500,1.000,7.3
2.png,Bed,bed,1.19,992,1264,1730,0.759,1.000,843,1275,1733,0.636,1.000,1067,1400,2000,0.500,5.3
2.png,Television,default,1.19,88,560,864,0.726,1.000,109,467,1008,0.717,1.000,80,100,150,1.000,19.2
3.png,Bed,bed,1.00,799,1465,1469,0.701,0.300,801,1438,1477,0.706,0.300,1067,1400,2000,0.500,0.9
4.png,Bed,bed,1.67,1174,1567,1699,0.553,0.500,1010,1382,1559,0.504,0.500,1067,1400,2000,0.500,11.3
4.png,Coffee Table,table,1.67,297,450,628,0.788,1.000,297,396,406,0.795,1.000,80,100,150,0.150,15.8
4.png,Stool,default,1.67,281,406,670,0.622,1.000,324,404,445,0.584,1.000,80,100,150,1.000,16.5
5.png,Bed,bed,1.67,863,1284,1397,0.703,0.300,803,964,1492,0.630,0.300,1067,1400,2000,0.500,12.9
6.jpg,Bed,bed,1.33,1102,1265,1927,0.663,0.500,926,1207,1685,0.702,1.000,1067,1400,2000,0.500,11.0
7.jpg,Floor,default,1.33,1351,1849,2270,0.445,1.000,1330,1812,1825,0.529,1.000,80,100,150,1.000,7.7
8.jpg,Bed,bed,1.33,1456,1634,1706,0.544,0.500,1322,1829,1839,0.482,0.500,1067,1400,2000,0.500,9.6
8.jpg,Cabinet/shelf,cabinet,1.33,480,533,878,0.652,1.000,203,429,835,0.658,1.000,80,100,150,0.150,27.3
8.jpg,Television,default,1.33,172,191,332,0.804,1.000,168,187,247,0.815,1.000,80,100,150,1.000,9.9
9.jpg,Bed,bed,1.33,1307,1806,1899,0.574,0.500,1173,1382,1866,0.650,0.500,1067,1400,2000,0.500,11.8
9.jpg,Sofa,sofa,1.33,322,492,1813,0.643,1.000,218,497,1372,0.602,0.500,900,1800,3200,1.000,19.2
