image,obj_idx,label,yoloe_conf,rule_type,rule_W_mm,rule_D_mm,rule_H_mm,rule_vol_m3,boxer_W_mm,boxer_D_mm,boxer_H_mm,boxer_vol_m3,boxer_conf,W_diff%,D_diff%,H_diff%,V_diff%
1.png,0,Nightstand,0.8315091729164124,,500,400,500,0.1,485.2,316.2,420.6,0.064525,0.805,3.0,21.0,15.9,35.5
1.png,1,Sofa,0.7429137825965881,SINGLE_SOFA,1000,1000,900,0.9,1098.5,758.8,938.2,0.782023,0.605,9.8,24.1,4.2,13.1
1.png,2,Coffee Table,0.7420958876609802,,100.0,100.0,100.0,0.001,518.7,367.1,412.0,0.07844,0.767,418.7,267.1,312.0,7744.0
1.png,3,Monitor/TV,0.6571762561798096,,100.0,100.0,100.0,0.001,604.8,94.9,395.7,0.02271,0.811,504.8,5.1,295.7,2171.0
1.png,4,Storage box,0.39871254563331604,,100.0,100.0,100.0,0.001,273.6,126.6,171.8,0.005951,0.782,173.6,26.6,71.8,495.1
1.png,5,Fan,0.31535348296165466,,400,400,1100,0.176,406.7,93.0,181.6,0.006869,0.672,1.7,76.8,83.5,96.1
1.png,6,Bed,0.306204617023468,BUNK_BED,1800,2000,2000.0,7.2,1592.6,739.7,1068.9,1.259198,0.637,11.5,63.0,46.6,82.5
10.jpg,0,Nightstand,0.9286580681800842,,500,400,500,0.1,1026.2,376.5,540.7,0.208925,0.543,105.2,5.9,8.1,108.9
10.jpg,1,Nightstand,0.9285802245140076,,500,400,500,0.1,434.7,210.0,273.4,0.024954,0.721,13.1,47.5,45.3,75.0
10.jpg,2,Bed,0.9090806245803833,BUNK_BED,1800,2000,2000.0,7.2,1554.9,1270.4,1394.6,2.754704,0.609,13.6,36.5,30.3,61.7
11.jpg,0,Bed,0.921581506729126,BUNK_BED,1800,2000,2000.0,7.2,2005.2,1382.1,1466.6,4.064569,0.632,11.4,30.9,26.7,43.5
11.jpg,1,Coffee Table,0.7302915453910828,,100.0,100.0,100.0,0.001,227.2,88.6,225.1,0.004531,0.728,127.2,11.4,125.1,353.1
12.jpg,0,Sofa,0.9062431454658508,SINGLE_SOFA,1000,1000,900,0.9,1867.0,1275.6,1287.2,3.065533,0.607,86.7,27.6,43.0,240.6
12.jpg,1,Floor,0.4522240459918976,,100.0,100.0,100.0,0.001,3869.9,50.0,1798.4,0.347988,0.426,3769.9,50.0,1698.4,34698.8
2.png,0,Nightstand,0.9010894894599915,,500,400,500,0.1,536.4,376.7,463.0,0.093555,0.761,7.3,5.8,7.4,6.4
2.png,1,Bed,0.8826664090156555,BUNK_BED,1800,2000,2000.0,7.2,2088.7,1177.2,1614.6,3.969892,0.703,16.0,41.1,19.3,44.9
2.png,2,Television,0.5328285098075867,,100.0,100.0,100.0,0.001,1280.3,198.5,727.6,0.184887,0.54,1180.3,98.5,627.6,18388.7
3.png,0,Bed,0.8750945329666138,BUNK_BED,1800,2000,2000.0,7.2,1816.8,566.4,1232.1,1.267909,0.672,0.9,71.7,38.4,82.4
4.png,0,Bed,0.9183921813964844,BUNK_BED,1800,2000,2000.0,7.2,1689.8,827.6,835.2,1.167947,0.509,6.1,58.6,58.2,83.8
4.png,1,Coffee Table,0.7771251201629639,,100.0,100.0,100.0,0.001,398.3,203.5,322.3,0.026132,0.69,298.3,103.5,222.3,2513.2
4.png,2,Stool,0.4460153579711914,,100.0,100.0,100.0,0.001,722.3,349.5,692.7,0.174872,0.38,622.3,249.5,592.7,17387.2
5.png,0,Bed,0.7939499020576477,BUNK_BED,1800,2000,2000.0,7.2,1285.2,666.7,803.0,0.688094,0.541,28.6,66.7,59.9,90.4
6.jpg,0,Bed,0.7743685245513916,BUNK_BED,1800,2000,2000.0,7.2,2078.5,1104.7,1320.1,3.031254,0.541,15.5,44.8,34.0,57.9
7.jpg,0,Floor,0.4476715922355652,,100.0,100.0,100.0,0.001,1778.9,966.0,1320.8,2.269796,0.364,1678.9,866.0,1220.8,226879.6
8.jpg,0,Bed,0.8395417332649231,BUNK_BED,1800,2000,2000.0,7.2,1717.6,1261.1,1290.0,2.794254,0.432,4.6,36.9,35.5,61.2
8.jpg,1,Cabinet/shelf,0.6365334391593933,,100.0,100.0,100.0,0.001,714.3,392.0,409.2,0.114608,0.588,614.3,292.0,309.2,11360.8
8.jpg,2,Television,0.30511510372161865,,100.0,100.0,100.0,0.001,309.2,138.2,239.2,0.010222,0.675,209.2,38.2,139.2,922.2
9.jpg,0,Bed,0.5360005497932434,BUNK_BED,1800,2000,2000.0,7.2,1879.0,913.6,1253.6,2.15195,0.512,4.4,54.3,37.3,70.1
9.jpg,1,Sofa,0.4679481089115143,SINGLE_SOFA,1000,1000,900,0.9,1131.6,217.9,274.9,0.067792,0.673,13.2,78.2,69.5,92.5
